Timestamp, pH Value
2024-11-17 18:26:42, pH:4.07
2024-11-17 18:26:43, pH:4.09
2024-11-17 18:26:44, pH:4.06
2024-11-17 18:26:45, pH:4.08
2024-11-17 18:26:46, pH:4.07
2024-11-17 18:26:46, pH:4.06
2024-11-17 18:26:47, pH:4.08
2024-11-17 18:26:48, pH:4.08
2024-11-17 18:26:49, pH:4.06
2024-11-17 18:26:50, pH:4.06
2024-11-17 18:26:51, pH:4.07
2024-11-17 18:26:52, pH:4.05
2024-11-17 18:26:53, pH:4.08
2024-11-17 18:26:54, pH:4.08
2024-11-17 18:26:55, pH:4.05
2024-11-17 18:26:55, pH:4.06
2024-11-17 18:26:56, pH:4.07
2024-11-17 18:26:57, pH:4.06
2024-11-17 18:26:58, pH:4.05
2024-11-17 18:26:59, pH:4.07
2024-11-17 18:27:00, pH:4.07
2024-11-17 18:27:01, pH:4.05
2024-11-17 18:27:02, pH:4.08
2024-11-17 18:27:03, pH:4.07
2024-11-17 18:27:04, pH:4.05
2024-11-17 18:27:04, pH:4.07
2024-11-17 18:27:05, pH:4.08
2024-11-17 18:27:06, pH:4.04
2024-11-17 18:27:07, pH:4.05
2024-11-17 18:27:08, pH:4.08
2024-11-17 18:27:09, pH:4.06
2024-11-17 18:27:10, pH:4.06
2024-11-17 18:27:11, pH:4.07
2024-11-17 18:27:12, pH:4.06
2024-11-17 18:27:13, pH:4.04
2024-11-17 18:27:13, pH:4.08
2024-11-17 18:27:14, pH:4.08
2024-11-17 18:27:15, pH:4.04
2024-11-17 18:27:16, pH:4.07
2024-11-17 18:27:17, pH:4.07
2024-11-17 18:27:18, pH:4.05
2024-11-17 18:27:19, pH:4.09
2024-11-17 18:27:20, pH:4.07
2024-11-17 18:27:21, pH:4.07
2024-11-17 18:27:22, pH:4.08
2024-11-17 18:27:22, pH:4.04
2024-11-17 18:27:23, pH:4.06
2024-11-17 18:27:24, pH:4.07
2024-11-17 18:27:25, pH:4.05
2024-11-17 18:27:26, pH:4.07
2024-11-17 18:27:27, pH:4.07
2024-11-17 18:27:28, pH:4.04
2024-11-17 18:27:29, pH:4.08
2024-11-17 18:27:30, pH:4.05
2024-11-17 18:27:31, pH:4.07
2024-11-17 18:27:31, pH:4.09
2024-11-17 18:27:32, pH:4.06
2024-11-17 18:27:33, pH:4.08
2024-11-17 18:27:34, pH:4.08
2024-11-17 18:27:35, pH:4.06
2024-11-17 18:27:36, pH:4.08
2024-11-17 18:27:37, pH:4.04
2024-11-17 18:27:38, pH:4.06
2024-11-17 18:27:39, pH:4.07
2024-11-17 18:27:40, pH:4.05
2024-11-17 18:27:41, pH:4.07
2024-11-17 18:27:41, pH:4.08
2024-11-17 18:27:42, pH:4.04
2024-11-17 18:27:43, pH:4.08
2024-11-17 18:27:44, pH:4.07
2024-11-17 18:27:45, pH:4.16
2024-11-17 18:27:46, pH:4.09
2024-11-17 18:27:47, pH:4.05
2024-11-17 18:27:48, pH:4.06
2024-11-17 18:27:49, pH:4.07
2024-11-17 18:27:50, pH:4.05
2024-11-17 18:27:50, pH:4.07
2024-11-17 18:27:51, pH:4.09
2024-11-17 18:27:52, pH:4.06
2024-11-17 18:27:53, pH:4.07
2024-11-17 18:27:54, pH:4.07
2024-11-17 18:27:55, pH:4.04
2024-11-17 18:27:56, pH:4.08
2024-11-17 18:27:57, pH:4.08
2024-11-17 18:27:58, pH:4.05
2024-11-17 18:27:59, pH:4.07
2024-11-17 18:27:59, pH:4.07
2024-11-17 18:28:00, pH:4.03
2024-11-17 18:28:01, pH:4.07
2024-11-17 18:28:02, pH:4.08
2024-11-17 18:28:03, pH:4.06
2024-11-17 18:28:04, pH:4.06
2024-11-17 18:28:05, pH:4.07
2024-11-17 18:28:06, pH:4.05
2024-11-17 18:28:07, pH:4.06
2024-11-17 18:28:08, pH:4.07
2024-11-17 18:28:08, pH:4.05
2024-11-17 18:28:09, pH:4.04
2024-11-17 18:28:10, pH:4.07
2024-11-17 18:28:11, pH:4.06
2024-11-17 18:28:12, pH:4.04
2024-11-17 18:28:13, pH:4.07
2024-11-17 18:28:14, pH:4.07
2024-11-17 18:28:15, pH:4.06
2024-11-17 18:28:16, pH:4.04
2024-11-17 18:28:17, pH:4.07
2024-11-17 18:28:17, pH:4.06
2024-11-17 18:28:18, pH:4.05
2024-11-17 18:28:19, pH:4.07
2024-11-17 18:28:20, pH:4.08
2024-11-17 18:28:21, pH:4.05
2024-11-17 18:28:22, pH:4.06
2024-11-17 18:28:23, pH:4.09
2024-11-17 18:28:24, pH:4.06
2024-11-17 18:28:25, pH:4.06
2024-11-17 18:28:26, pH:4.08
2024-11-17 18:28:26, pH:4.05
2024-11-17 18:28:27, pH:4.06
2024-11-17 18:28:28, pH:4.08
2024-11-17 18:28:29, pH:4.04
2024-11-17 18:28:30, pH:4.07
2024-11-17 18:28:31, pH:4.10
2024-11-17 18:28:32, pH:4.06
2024-11-17 18:28:33, pH:4.08
2024-11-17 18:28:34, pH:4.07
2024-11-17 18:28:35, pH:4.06
2024-11-17 18:28:36, pH:4.08
2024-11-17 18:28:36, pH:4.06
2024-11-17 18:28:37, pH:4.08
2024-11-17 18:28:38, pH:4.09
2024-11-17 18:28:39, pH:4.04
2024-11-17 18:28:40, pH:4.08
2024-11-17 18:28:41, pH:4.06
2024-11-17 18:28:42, pH:4.06
2024-11-17 18:28:43, pH:4.09
2024-11-17 18:28:44, pH:4.06
2024-11-17 18:28:45, pH:4.06
2024-11-17 18:28:45, pH:4.07
2024-11-17 18:28:46, pH:4.07
2024-11-17 18:28:47, pH:4.04
2024-11-17 18:28:48, pH:4.08
2024-11-17 18:28:49, pH:4.07
2024-11-17 18:28:50, pH:4.04
2024-11-17 18:28:51, pH:4.07
2024-11-17 18:28:52, pH:4.09
2024-11-17 18:28:53, pH:4.04
2024-11-17 18:28:54, pH:4.05
2024-11-17 18:28:54, pH:4.09
2024-11-17 18:28:55, pH:4.07
2024-11-17 18:28:56, pH:4.04
2024-11-17 18:28:57, pH:4.08
2024-11-17 18:28:58, pH:4.09
2024-11-17 18:28:59, pH:4.06
2024-11-17 18:29:00, pH:4.08
2024-11-17 18:29:01, pH:4.08
2024-11-17 18:29:02, pH:4.04
2024-11-17 18:29:03, pH:4.06
2024-11-17 18:29:03, pH:4.08
2024-11-17 18:29:04, pH:4.04
2024-11-17 18:29:05, pH:4.05
2024-11-17 18:29:06, pH:4.08
2024-11-17 18:29:07, pH:4.08
2024-11-17 18:29:08, pH:4.04
2024-11-17 18:29:09, pH:4.08
2024-11-17 18:29:10, pH:4.08
2024-11-17 18:29:11, pH:4.06
2024-11-17 18:29:12, pH:4.07
2024-11-17 18:29:12, pH:4.07
2024-11-17 18:29:13, pH:4.05
2024-11-17 18:29:14, pH:4.07
2024-11-17 18:29:15, pH:4.09
2024-11-17 18:29:16, pH:4.05
2024-11-17 18:29:17, pH:4.06
2024-11-17 18:29:18, pH:4.09
2024-11-17 18:29:19, pH:4.08
2024-11-17 18:29:20, pH:4.05
2024-11-17 18:29:21, pH:4.07
2024-11-17 18:29:21, pH:4.08
2024-11-17 18:29:22, pH:4.05
2024-11-17 18:29:23, pH:4.08
2024-11-17 18:29:24, pH:4.08
2024-11-17 18:29:25, pH:4.03
2024-11-17 18:29:26, pH:4.08
2024-11-17 18:29:27, pH:4.09
2024-11-17 18:29:28, pH:4.06
2024-11-17 18:29:29, pH:4.06
2024-11-17 18:29:30, pH:4.08
2024-11-17 18:29:31, pH:4.06
2024-11-17 18:29:31, pH:4.06
2024-11-17 18:29:32, pH:4.08
2024-11-17 18:29:33, pH:4.08
2024-11-17 18:29:34, pH:4.07
2024-11-17 18:29:35, pH:4.08
2024-11-17 18:29:36, pH:4.06
2024-11-17 18:29:37, pH:4.04
2024-11-17 18:29:38, pH:4.07
2024-11-17 18:29:39, pH:4.07
2024-11-17 18:29:40, pH:4.05
2024-11-17 18:29:40, pH:4.07
2024-11-17 18:29:41, pH:4.05
2024-11-17 18:29:42, pH:4.07
2024-11-17 18:29:43, pH:4.05
2024-11-17 18:29:44, pH:4.08
2024-11-17 18:29:45, pH:4.07
2024-11-17 18:29:46, pH:4.08
2024-11-17 18:29:47, pH:4.08
2024-11-17 18:29:48, pH:4.06
2024-11-17 18:29:49, pH:4.07
2024-11-17 18:29:49, pH:4.06
2024-11-17 18:29:50, pH:4.09
2024-11-17 18:29:51, pH:4.04
2024-11-17 18:29:52, pH:4.08
2024-11-17 18:29:53, pH:4.04
2024-11-17 18:29:54, pH:4.08
2024-11-17 18:29:55, pH:4.05
2024-11-17 18:29:56, pH:4.09
2024-11-17 18:29:57, pH:4.04
2024-11-17 18:29:58, pH:4.08
2024-11-17 18:29:58, pH:4.06
2024-11-17 18:29:59, pH:4.09
2024-11-17 18:30:00, pH:4.06
2024-11-17 18:30:01, pH:4.08
2024-11-17 18:30:02, pH:4.05
2024-11-17 18:30:03, pH:4.09
2024-11-17 18:30:04, pH:4.08
2024-11-17 18:30:05, pH:4.08
2024-11-17 18:30:06, pH:4.07
2024-11-17 18:30:07, pH:4.06
2024-11-17 18:30:07, pH:4.08
2024-11-17 18:30:08, pH:4.07
2024-11-17 18:30:09, pH:4.10
2024-11-17 18:30:10, pH:4.04
2024-11-17 18:30:11, pH:4.09
2024-11-17 18:30:12, pH:4.05
2024-11-17 18:30:13, pH:4.08
2024-11-17 18:30:14, pH:4.06
2024-11-17 18:30:15, pH:4.09
2024-11-17 18:30:16, pH:4.08
2024-11-17 18:30:16, pH:4.08
2024-11-17 18:30:17, pH:4.10
2024-11-17 18:30:18, pH:4.05
2024-11-17 18:30:19, pH:4.08
2024-11-17 18:30:20, pH:4.06
2024-11-17 18:30:21, pH:4.08
2024-11-17 18:30:22, pH:4.07
2024-11-17 18:30:23, pH:4.06
2024-11-17 18:30:24, pH:4.08
2024-11-17 18:30:25, pH:4.04
2024-11-17 18:30:25, pH:4.09
2024-11-17 18:30:26, pH:4.06
2024-11-17 18:30:27, pH:4.09
2024-11-17 18:30:28, pH:4.07
2024-11-17 18:30:29, pH:4.08
2024-11-17 18:30:30, pH:4.10
2024-11-17 18:30:31, pH:4.05
2024-11-17 18:30:32, pH:4.09
2024-11-17 18:30:33, pH:4.06
2024-11-17 18:30:34, pH:4.08
2024-11-17 18:30:35, pH:4.10
2024-11-17 18:30:35, pH:4.05
2024-11-17 18:30:36, pH:4.10
2024-11-17 18:30:37, pH:4.07
2024-11-17 18:30:38, pH:4.08
2024-11-17 18:30:39, pH:4.09
2024-11-17 18:30:40, pH:4.06
2024-11-17 18:30:41, pH:4.08
2024-11-17 18:30:42, pH:4.08
2024-11-17 18:30:43, pH:4.06
2024-11-17 18:30:44, pH:4.09
2024-11-17 18:30:44, pH:4.05
2024-11-17 18:30:45, pH:4.06
2024-11-17 18:30:46, pH:4.08
2024-11-17 18:30:47, pH:4.06
2024-11-17 18:30:48, pH:4.08
2024-11-17 18:30:49, pH:4.09
2024-11-17 18:30:50, pH:4.04
2024-11-17 18:30:51, pH:4.10
2024-11-17 18:30:52, pH:4.06
2024-11-17 18:30:53, pH:4.08
2024-11-17 18:30:53, pH:4.09
2024-11-17 18:30:54, pH:4.06
2024-11-17 18:30:55, pH:4.08
2024-11-17 18:30:56, pH:4.09
2024-11-17 18:30:57, pH:4.05
2024-11-17 18:30:58, pH:4.08
2024-11-17 18:30:59, pH:4.04
2024-11-17 18:31:00, pH:4.06
2024-11-17 18:31:01, pH:4.08
2024-11-17 18:31:02, pH:4.05
2024-11-17 18:31:02, pH:4.08
2024-11-17 18:31:03, pH:4.08
2024-11-17 18:31:04, pH:4.05
2024-11-17 18:31:05, pH:4.10
2024-11-17 18:31:06, pH:4.06
2024-11-17 18:31:07, pH:4.08
2024-11-17 18:31:08, pH:4.09
2024-11-17 18:31:09, pH:4.06
2024-11-17 18:31:10, pH:4.08
2024-11-17 18:31:11, pH:4.09
2024-11-17 18:31:11, pH:4.04
2024-11-17 18:31:12, pH:4.08
2024-11-17 18:31:13, pH:4.06
2024-11-17 18:31:14, pH:4.05
2024-11-17 18:31:15, pH:4.09
2024-11-17 18:31:16, pH:4.06
2024-11-17 18:31:17, pH:4.06
2024-11-17 18:31:18, pH:4.08
2024-11-17 18:31:19, pH:4.05
2024-11-17 18:31:20, pH:4.06
2024-11-17 18:31:20, pH:4.08
2024-11-17 18:31:21, pH:4.06
2024-11-17 18:31:22, pH:4.08
2024-11-17 18:31:23, pH:4.09
2024-11-17 18:31:24, pH:4.04
2024-11-17 18:31:25, pH:4.05
2024-11-17 18:31:26, pH:4.08
2024-11-17 18:31:27, pH:4.05
2024-11-17 18:31:28, pH:4.09
2024-11-17 18:31:29, pH:4.09
2024-11-17 18:31:30, pH:4.06
2024-11-17 18:31:30, pH:4.08
2024-11-17 18:31:31, pH:4.08
2024-11-17 18:31:32, pH:4.04
2024-11-17 18:31:33, pH:4.10
2024-11-17 18:31:34, pH:5.29
2024-11-17 18:31:35, pH:3.92
2024-11-17 18:31:36, pH:3.97
2024-11-17 18:31:37, pH:4.00
2024-11-17 18:31:38, pH:4.00
2024-11-17 18:31:39, pH:4.04
2024-11-17 18:31:39, pH:4.05
2024-11-17 18:31:40, pH:4.02
2024-11-17 18:31:41, pH:4.02
2024-11-17 18:31:42, pH:4.06
2024-11-17 18:31:43, pH:4.08
2024-11-17 18:31:44, pH:4.53
2024-11-17 18:31:45, pH:12.11
2024-11-17 18:31:46, pH:15.74
2024-11-17 18:31:47, pH:10.10
2024-11-17 18:31:48, pH:11.88
2024-11-17 18:31:48, pH:12.67
2024-11-17 18:31:49, pH:10.83
2024-11-17 18:31:50, pH:16.48
2024-11-17 18:31:51, pH:15.78
2024-11-17 18:31:52, pH:12.05
2024-11-17 18:31:53, pH:10.56
2024-11-17 18:31:54, pH:-1.00
2024-11-17 18:31:55, pH:-1.00
2024-11-17 18:31:56, pH:-1.00
2024-11-17 18:31:57, pH:7.84
2024-11-17 18:31:57, pH:7.82
2024-11-17 18:31:58, pH:7.82
2024-11-17 18:31:59, pH:7.80
2024-11-17 18:32:00, pH:7.80
2024-11-17 18:32:01, pH:7.81
2024-11-17 18:32:02, pH:7.79
2024-11-17 18:32:03, pH:7.78
2024-11-17 18:32:04, pH:-1.00
2024-11-17 18:32:05, pH:-1.00
2024-11-17 18:32:06, pH:-1.00
2024-11-17 18:32:06, pH:7.67
2024-11-17 18:32:07, pH:7.69
2024-11-17 18:32:08, pH:7.74
2024-11-17 18:32:09, pH:7.74
2024-11-17 18:32:10, pH:7.74
2024-11-17 18:32:11, pH:7.74
2024-11-17 18:32:12, pH:7.75
2024-11-17 18:32:13, pH:7.74
2024-11-17 18:32:14, pH:7.74
2024-11-17 18:32:15, pH:7.75
2024-11-17 18:32:15, pH:7.74
2024-11-17 18:32:16, pH:7.74
2024-11-17 18:32:17, pH:7.75
2024-11-17 18:32:18, pH:7.74
2024-11-17 18:32:19, pH:7.75
2024-11-17 18:32:20, pH:7.75
2024-11-17 18:32:21, pH:7.74
2024-11-17 18:32:22, pH:7.74
2024-11-17 18:32:23, pH:7.75
2024-11-17 18:32:24, pH:7.74
2024-11-17 18:32:25, pH:7.75
2024-11-17 18:32:25, pH:7.74
2024-11-17 18:32:26, pH:7.75
2024-11-17 18:32:27, pH:7.74
2024-11-17 18:32:28, pH:7.74
2024-11-17 18:32:29, pH:7.74
2024-11-17 18:32:30, pH:7.75
2024-11-17 18:32:31, pH:7.74
2024-11-17 18:32:32, pH:7.75
2024-11-17 18:32:33, pH:7.75
2024-11-17 18:32:34, pH:7.75
2024-11-17 18:32:34, pH:7.75
2024-11-17 18:32:35, pH:7.75
2024-11-17 18:32:36, pH:7.74
2024-11-17 18:32:37, pH:7.74
2024-11-17 18:32:38, pH:7.74
2024-11-17 18:32:39, pH:7.75
2024-11-17 18:32:40, pH:7.74
2024-11-17 18:32:41, pH:7.74
2024-11-17 18:32:42, pH:7.74
2024-11-17 18:32:43, pH:7.75
2024-11-17 18:32:43, pH:7.74
2024-11-17 18:32:44, pH:7.74
2024-11-17 18:32:45, pH:7.74
2024-11-17 18:32:46, pH:7.75
2024-11-17 18:32:47, pH:7.74
2024-11-17 18:32:48, pH:7.75
2024-11-17 18:32:49, pH:7.76
2024-11-17 18:32:50, pH:7.76
2024-11-17 18:32:51, pH:7.76
2024-11-17 18:32:52, pH:7.74
2024-11-17 18:32:52, pH:7.74
2024-11-17 18:32:53, pH:7.75
2024-11-17 18:32:54, pH:-1.00
2024-11-17 18:32:55, pH:6.27
2024-11-17 18:32:56, pH:7.72
2024-11-17 18:32:57, pH:7.81
2024-11-17 18:32:58, pH:7.79
2024-11-17 18:32:59, pH:7.76
2024-11-17 18:33:00, pH:7.76
2024-11-17 18:33:01, pH:7.76
2024-11-17 18:33:01, pH:7.77
2024-11-17 18:33:02, pH:7.75
2024-11-17 18:33:03, pH:7.76
2024-11-17 18:33:04, pH:7.76
2024-11-17 18:33:05, pH:7.73
2024-11-17 18:33:06, pH:7.83
2024-11-17 18:33:07, pH:7.85
2024-11-17 18:33:08, pH:7.86
2024-11-17 18:33:09, pH:7.88
2024-11-17 18:33:10, pH:7.73
2024-11-17 18:33:10, pH:9.36
2024-11-17 18:33:11, pH:9.35
2024-11-17 18:33:12, pH:9.34
2024-11-17 18:33:13, pH:9.36
2024-11-17 18:33:14, pH:9.35
2024-11-17 18:33:15, pH:9.35
2024-11-17 18:33:16, pH:9.36
2024-11-17 18:33:17, pH:9.35
2024-11-17 18:33:18, pH:9.35
2024-11-17 18:33:19, pH:9.35
2024-11-17 18:33:20, pH:9.35
2024-11-17 18:33:20, pH:9.34
2024-11-17 18:33:21, pH:9.35
2024-11-17 18:33:22, pH:9.35
2024-11-17 18:33:23, pH:9.34
2024-11-17 18:33:24, pH:9.35
2024-11-17 18:33:25, pH:9.34
2024-11-17 18:33:26, pH:9.34
2024-11-17 18:33:27, pH:9.35
2024-11-17 18:33:28, pH:9.34
2024-11-17 18:33:29, pH:9.34
2024-11-17 18:33:29, pH:9.35
2024-11-17 18:33:30, pH:9.34
2024-11-17 18:33:31, pH:9.34
2024-11-17 18:33:32, pH:9.35
2024-11-17 18:33:33, pH:9.34
2024-11-17 18:33:34, pH:9.33
2024-11-17 18:33:35, pH:9.34
2024-11-17 18:33:36, pH:9.33
2024-11-17 18:33:37, pH:9.33
2024-11-17 18:33:38, pH:9.33
2024-11-17 18:33:38, pH:9.34
2024-11-17 18:33:39, pH:9.33
2024-11-17 18:33:40, pH:9.34
2024-11-17 18:33:41, pH:9.34
2024-11-17 18:33:42, pH:9.34
2024-11-17 18:33:43, pH:9.33
2024-11-17 18:33:44, pH:9.34
2024-11-17 18:33:45, pH:9.34
2024-11-17 18:33:46, pH:9.33
2024-11-17 18:33:47, pH:9.33
2024-11-17 18:33:47, pH:9.34
2024-11-17 18:33:48, pH:9.33
2024-11-17 18:33:49, pH:9.33
2024-11-17 18:33:50, pH:9.33
2024-11-17 18:33:51, pH:9.34
2024-11-17 18:33:52, pH:9.33
2024-11-17 18:33:53, pH:9.33
2024-11-17 18:33:54, pH:9.33
2024-11-17 18:33:55, pH:9.34
2024-11-17 18:33:56, pH:9.33
2024-11-17 18:33:56, pH:9.33
2024-11-17 18:33:57, pH:9.33
2024-11-17 18:33:58, pH:9.33
2024-11-17 18:33:59, pH:9.33
2024-11-17 18:34:00, pH:9.33
2024-11-17 18:34:01, pH:9.34
2024-11-17 18:34:02, pH:9.32
2024-11-17 18:34:03, pH:9.33
2024-11-17 18:34:04, pH:9.34
2024-11-17 18:34:05, pH:9.32
2024-11-17 18:34:05, pH:9.33
2024-11-17 18:34:06, pH:9.33
2024-11-17 18:34:07, pH:9.32
2024-11-17 18:34:08, pH:9.33
2024-11-17 18:34:09, pH:9.33
2024-11-17 18:34:10, pH:9.33
2024-11-17 18:34:11, pH:9.33
2024-11-17 18:34:12, pH:9.33
2024-11-17 18:34:13, pH:9.33
2024-11-17 18:34:14, pH:9.32
2024-11-17 18:34:15, pH:9.32
2024-11-17 18:34:15, pH:9.33
2024-11-17 18:34:16, pH:9.33
2024-11-17 18:34:17, pH:9.33
2024-11-17 18:34:18, pH:9.32
2024-11-17 18:34:19, pH:9.33
2024-11-17 18:34:20, pH:9.33
2024-11-17 18:34:21, pH:9.32
2024-11-17 18:34:22, pH:9.32
2024-11-17 18:34:23, pH:9.32
2024-11-17 18:34:24, pH:9.33
2024-11-17 18:34:24, pH:9.32
2024-11-17 18:34:25, pH:9.33
2024-11-17 18:34:26, pH:9.33
2024-11-17 18:34:27, pH:9.32
2024-11-17 18:34:28, pH:9.33
2024-11-17 18:34:29, pH:9.33
2024-11-17 18:34:30, pH:9.33
2024-11-17 18:34:31, pH:9.32
2024-11-17 18:34:32, pH:9.33
2024-11-17 18:34:33, pH:9.33
2024-11-17 18:34:33, pH:9.32
2024-11-17 18:34:34, pH:9.32
2024-11-17 18:34:35, pH:9.32
2024-11-17 18:34:36, pH:9.33
2024-11-17 18:34:37, pH:9.32
2024-11-17 18:34:38, pH:9.33
2024-11-17 18:34:39, pH:9.32
2024-11-17 18:34:40, pH:9.32
2024-11-17 18:34:41, pH:9.31
2024-11-17 18:34:42, pH:9.33
2024-11-17 18:34:42, pH:9.32
2024-11-17 18:34:43, pH:9.32
2024-11-17 18:34:44, pH:9.31
2024-11-17 18:34:45, pH:9.32
2024-11-17 18:34:46, pH:9.32
2024-11-17 18:34:47, pH:9.31
2024-11-17 18:34:48, pH:9.32
2024-11-17 18:34:49, pH:9.31
2024-11-17 18:34:50, pH:9.32
2024-11-17 18:34:51, pH:9.31
2024-11-17 18:34:51, pH:9.31
2024-11-17 18:34:52, pH:9.31
2024-11-17 18:34:53, pH:9.33
2024-11-17 18:34:54, pH:9.32
2024-11-17 18:34:55, pH:9.31
2024-11-17 18:34:56, pH:9.35
2024-11-17 18:34:57, pH:9.37
2024-11-17 18:34:58, pH:9.02
2024-11-17 18:34:59, pH:8.78
2024-11-17 18:35:00, pH:8.60
2024-11-17 18:35:00, pH:8.15
2024-11-17 18:35:01, pH:8.20
2024-11-17 18:35:02, pH:8.14
2024-11-17 18:35:03, pH:8.10
2024-11-17 18:35:04, pH:8.02
2024-11-17 18:35:05, pH:7.99
2024-11-17 18:35:06, pH:7.96
2024-11-17 18:35:07, pH:7.94
2024-11-17 18:35:08, pH:7.90
2024-11-17 18:35:09, pH:7.89
2024-11-17 18:35:10, pH:7.88
2024-11-17 18:35:10, pH:7.84
2024-11-17 18:35:11, pH:7.84
2024-11-17 18:35:12, pH:7.83
2024-11-17 18:35:13, pH:7.79
2024-11-17 18:35:14, pH:7.81
2024-11-17 18:35:15, pH:7.79
2024-11-17 18:35:16, pH:7.77
2024-11-17 18:35:17, pH:7.75
2024-11-17 18:35:18, pH:7.77
2024-11-17 18:35:19, pH:7.75
2024-11-17 18:35:19, pH:7.73
2024-11-17 18:35:20, pH:7.74
2024-11-17 18:35:21, pH:7.71
2024-11-17 18:35:22, pH:7.70
2024-11-17 18:35:23, pH:8.33
2024-11-17 18:35:24, pH:9.29
2024-11-17 18:35:25, pH:-1.00
2024-11-17 18:35:26, pH:-1.00
2024-11-17 18:35:27, pH:-1.00
